MSISDN,Resource_Value,Resource_Type,Amount_Charged,Datetime_Charged
9230250373229,5,SMS,6,2023-12-09 19:21:06
9230164210176,1,SMS,0,2023-08-08 09:11:57
9230213698765,37,SMS,0,2024-07-06 07:27:35
9230854438776,45,SMS,13,2024-04-23 06:25:25
9230751286997,240,Voice,16,2023-01-16 23:35:17
9230300480073,235,Voice,20,2023-03-17 02:15:25
9230747965604,30,SMS,0,2023-01-19 17:15:39
9230966239325,19,SMS,3,2024-03-05 02:18:52
9230515222731,212,Voice,7,2024-04-04 10:31:59
9230998618451,17,SMS,0,2024-02-12 15:38:55
9230877452953,23,Data,3,2023-04-22 13:41:11
9230715340104,42,Data,0,2023-02-11 04:22:10
9230737442961,63,Data,0,2023-10-02 22:43:00
9230986337820,68,Data,0,2024-07-01 08:09:04
9230189367566,263,Voice,4,2023-06-22 06:25:11
9230325454471,27,Data,0,2023-09-06 04:06:55
9230734032528,202,Voice,9,2023-09-05 20:37:23
9230128026064,76,Data,10,2023-12-16 04:53:12
9230519509585,83,Data,2,2024-03-05 11:09:10
9230418573546,14,SMS,0,2024-10-12 20:24:47
9230349006281,91,Data,0,2023-04-11 22:50:29
9230757247005,209,Voice,1,2023-03-06 19:01:49
9230195976999,290,Voice,0,2024-12-27 04:50:23
9230762083350,24,SMS,6,2023-11-02 19:30:22
9230553677954,36,SMS,4,2024-07-12 07:02:38
9230439195173,45,Data,16,2024-09-02 21:21:56
9230745590992,39,SMS,0,2024-03-26 10:59:57
9230845937238,58,Data,17,2023-01-13 19:14:41
9230532210174,16,SMS,10,2023-02-05 06:15:37
9230479530239,68,Data,15,2024-03-24 09:24:45
9230353836706,35,Voice,0,2023-06-19 17:17:01
9230525329325,57,Data,2,2024-03-06 11:23:16
9230782878829,11,SMS,0,2023-10-15 07:07:33
9230620961607,40,Data,19,2024-11-08 08:15:18
9230913469186,22,Data,13,2023-05-28 14:12:54
9230324505412,2,SMS,9,2023-06-15 17:38:14
9230482635548,28,Voice,0,2023-07-01 22:38:24
9230206993428,37,SMS,1,2023-06-20 23:28:58
9230974624965,81,Data,0,2024-03-06 14:40:24
9230406874492,62,Data,0,2023-11-24 15:16:26
9230252568240,11,Data,20,2024-05-16 05:07:19
9230297580025,90,Data,1,2024-06-21 09:49:21
9230340061181,18,Voice,13,2024-05-02 12:18:00
9230734656004,231,Voice,0,2024-10-21 17:38:44
9230677273280,30,Data,9,2023-03-06 20:25:02
9230136074684,9,SMS,0,2023-07-26 01:30:30
9230553677954,27,SMS,19,2023-03-30 09:24:39
9230570122595,12,SMS,0,2023-03-28 18:39:57
9230181101498,76,Data,18,2023-02-02 19:34:12
9230482635548,41,SMS,0,2023-01-14 09:31:45
9230377740182,277,Voice,9,2024-03-16 13:02:38
9230421889309,51,Voice,0,2024-11-15 03:55:42
9230291832784,142,Voice,0,2024-02-06 06:34:55
9230134569915,109,Voice,0,2023-10-09 02:22:15
9230110752086,52,Data,10,2024-01-27 19:12:24
9230751286997,52,Data,0,2023-02-21 15:30:56
9230918324323,95,Data,8,2023-05-01 12:11:37
9230913662608,31,SMS,0,2023-09-15 15:39:04
9230859259858,6,SMS,0,2023-04-08 11:29:56
9230518578339,240,Voice,0,2023-04-05 01:19:36
9230104488435,270,Voice,8,2024-03-15 11:29:13
9230135697838,18,Data,0,2023-09-11 21:14:29
9230859759249,63,Data,7,2023-05-31 06:42:58
9230411287976,24,Voice,0,2023-03-16 02:18:02
9230283949996,51,Data,4,2024-11-11 08:25:45
9230681362355,53,Data,0,2023-04-23 14:54:21
9230482635548,16,Data,0,2023-11-28 09:24:06
9230744398113,199,Voice,2,2023-05-14 04:54:02
9230830363551,291,Voice,0,2023-10-19 04:57:59
9230242009124,71,Data,0,2023-08-17 10:46:03
9230281653523,6,Data,0,2024-02-01 23:16:57
9230584816103,23,SMS,0,2023-05-29 11:45:30
9230513601178,119,Voice,0,2023-08-02 01:55:55
9230585087525,24,Data,8,2024-08-19 18:59:09
9230532210174,33,SMS,0,2024-05-27 23:21:20
9230690127388,83,Voice,0,2023-07-07 11:04:32
9230678620520,67,Data,0,2024-04-24 16:23:29
9230797852798,45,Voice,2,2024-03-30 01:47:25
9230620962249,205,Voice,0,2024-10-25 14:27:17
9230587802695,106,Voice,17,2024-03-29 23:15:07
9230929167854,67,Data,3,2023-12-07 01:46:51
9230270654265,26,Data,8,2023-11-19 03:42:55
9230222425251,146,Voice,16,2023-01-24 23:21:32
9230734032528,39,Data,0,2024-07-05 19:30:43
9230525329325,4,SMS,0,2023-06-13 15:05:16
9230406147934,203,Voice,0,2023-08-25 23:45:55
9230401971867,45,Data,19,2024-10-07 12:41:47
9230836421597,36,Voice,5,2023-06-08 06:42:53
9230131213667,29,SMS,18,2023-03-08 07:02:35
9230757247005,88,Data,0,2023-08-27 23:50:48
9230629451290,124,Voice,11,2023-11-09 11:22:46
