MSISDN,Data_Browsing_Allowance,SMS_Allowance,Voice_On-Net_Allowance,Voice_Off-Net_Allowance,Data_Social_Allowance,Datetime,Amount
9230715340104,3035,979,81,181,1236,2024-04-13 11:05:30,604
9230636066934,4819,676,218,40,1226,2023-09-05 11:29:10,356
9230570122595,7907,565,80,195,2691,2023-03-11 13:05:07,248
9230996629579,4495,496,104,216,1418,2023-05-17 00:56:48,737
9230403240894,3851,237,157,188,2975,2024-11-14 13:06:23,766
9230132527460,2092,664,453,285,294,2024-05-23 13:16:03,224
9230521850876,5480,557,171,192,2802,2024-07-07 10:03:54,189
9230689135277,8107,829,93,189,2205,2023-11-03 22:44:57,531
9230237322715,3160,846,109,167,1430,2023-05-12 14:45:14,270
9230889042748,4608,341,481,42,1048,2024-02-09 06:16:54,634
9230340061181,835,746,314,202,987,2023-03-22 09:09:11,770
9230935333762,4660,331,444,38,1516,2024-08-03 07:02:52,328
9230926844978,2878,778,193,139,2398,2024-07-17 07:53:53,589
9230372387956,2432,185,77,271,2201,2024-09-21 02:57:21,119
9230918324323,8175,993,500,254,1038,2024-01-16 23:06:40,751
9230859759249,6089,173,204,110,1210,2023-10-23 02:56:59,961
9230237322715,799,527,330,146,1511,2024-04-24 18:48:15,448
9230762083350,3229,663,493,73,996,2024-03-06 18:23:00,476
9230689135277,3532,334,144,119,592,2024-05-28 01:14:54,285
9230164904391,2549,157,478,266,1055,2023-04-11 17:13:27,385
9230798629373,3361,395,83,155,1017,2023-03-24 18:39:10,121
9230380831002,730,414,339,145,2984,2023-04-24 22:39:25,64
9230857792434,7785,741,408,251,1643,2023-09-30 10:03:39,324
9230988629670,8658,424,491,192,2771,2024-10-18 05:23:45,693
9230397501087,3964,114,130,288,2323,2023-12-01 16:07:33,480
9230276660407,6073,490,359,162,2793,2023-08-27 15:12:53,784
9230935333762,1712,442,71,254,1676,2023-07-16 13:22:22,848
9230395884015,9706,909,171,91,1403,2024-07-31 08:25:50,508
9230231393360,7112,844,167,77,831,2023-12-12 22:17:05,435
9230181232816,7430,570,454,55,1316,2023-07-17 06:11:49,58
9230224556190,7208,546,326,40,2102,2023-02-12 01:24:07,909
9230259441946,5599,408,233,215,992,2024-07-08 05:05:40,858
9230292005339,3891,342,168,41,1870,2024-10-21 16:45:51,650
9230869170025,8279,979,419,77,299,2024-02-11 20:02:13,815
9230859259858,7061,998,66,91,2821,2023-11-10 14:59:22,650
9230677273280,8047,988,376,190,1008,2024-10-28 22:12:09,559
9230798629373,8233,240,476,183,1004,2023-02-07 19:43:11,751
9230363807566,5543,763,456,194,1799,2023-03-25 18:40:00,218
9230691534638,5281,443,370,232,2262,2024-11-24 05:43:09,267
9230423959650,2902,297,238,172,1489,2024-01-15 00:59:15,679
9230563265024,7914,731,206,268,2706,2023-10-28 02:39:20,458
9230463124616,5837,390,257,238,1548,2023-10-25 17:11:42,67
9230717631811,7846,756,459,201,1147,2023-02-17 22:16:02,85
9230705284347,1093,911,368,98,1812,2024-10-18 17:34:36,970
9230424681184,1653,510,384,177,774,2024-12-15 13:01:06,486
9230297580025,9707,130,141,237,2814,2024-07-21 07:14:01,671
9230975398588,4275,781,473,36,483,2024-02-28 23:19:25,460
9230222425251,7547,265,255,237,1686,2023-11-27 00:42:53,408
9230284527343,970,140,457,275,1097,2024-09-10 00:10:02,708
9230531683554,7791,408,254,42,2003,2024-10-14 16:26:57,213
9230736702569,7637,587,227,251,2267,2023-04-24 00:22:57,125
9230548067772,4246,586,492,275,2638,2023-06-24 08:44:14,305
9230838747192,5751,289,69,207,2707,2023-11-22 09:05:44,180
9230615495383,6232,928,288,167,981,2024-02-29 17:33:36,230
9230995147362,9484,634,350,90,2283,2024-02-11 11:24:48,858
9230174337699,831,190,405,165,1771,2023-12-22 07:45:22,962
9230988629670,7764,919,247,110,2427,2024-01-11 05:06:51,65
9230582711549,8194,690,408,150,908,2023-02-17 22:44:28,954
9230542774756,6490,301,417,161,1545,2023-03-19 01:40:31,656
9230737442961,2374,294,490,111,2078,2023-01-04 12:12:12,80
9230223870632,5233,956,337,298,669,2024-04-21 19:14:18,200
9230509493265,5830,790,224,105,694,2023-09-13 14:03:15,601
9230368714655,5284,746,406,293,653,2024-12-28 13:50:23,251
9230797852798,9287,362,469,186,656,2023-08-17 16:18:18,619
9230844863890,7725,934,380,287,1335,2023-12-19 16:44:09,381
9230731598505,8255,961,427,104,800,2024-10-01 06:58:57,518
9230732582752,8640,128,389,176,2466,2023-09-07 17:06:29,702
9230859759249,667,691,261,81,452,2024-06-27 02:46:04,374
9230584157454,7578,473,343,184,2612,2024-01-23 07:55:55,715
9230747965604,5154,668,413,199,1421,2023-09-10 10:01:51,767
9230372387956,9829,167,210,35,1054,2023-03-20 14:09:00,293
9230289915767,2815,865,134,288,1466,2023-10-29 09:36:22,256
9230372079637,2833,636,391,289,2100,2024-10-03 04:54:08,496
9230628658338,5108,585,122,210,1647,2024-02-25 03:09:02,826
9230325454471,9706,144,417,231,1315,2023-12-09 20:46:10,232
9230951046596,1426,460,302,214,748,2023-08-06 16:13:14,344
9230707021158,9928,757,318,82,233,2024-12-14 04:01:49,732
9230195976999,8640,824,136,203,1234,2024-11-06 15:10:30,753
9230582461373,9394,138,149,126,1991,2024-08-04 02:41:11,424
9230996123791,2784,739,297,236,2290,2023-02-11 06:43:39,695
9230734328465,8015,518,221,80,752,2023-11-19 13:15:16,261
9230531683554,7008,690,78,107,2515,2024-03-12 01:32:27,579
9230283949996,9681,642,275,177,1516,2024-06-29 19:22:38,458
9230951046596,5943,412,71,251,1208,2023-06-08 15:15:25,117
9230843939004,7586,555,108,266,1831,2023-11-13 05:47:45,278
9230663695123,4595,530,207,104,2682,2024-04-03 22:34:49,848
9230541679053,8619,785,277,50,1905,2024-02-01 20:35:10,974
9230240764422,8988,468,107,214,2542,2023-03-16 04:50:47,479
9230150956349,5728,983,258,57,1276,2024-01-13 13:31:18,411
9230509988441,4247,648,65,87,679,2023-09-07 19:35:54,914
9230291832784,5156,438,151,182,456,2024-01-18 20:56:56,656
9230951173620,4638,885,99,261,1811,2023-09-27 07:05:28,143
9230428352927,2898,997,124,169,2887,2023-09-02 15:29:42,280
9230870299395,7809,235,189,248,1939,2023-03-22 09:33:17,593
9230532210174,8993,655,397,297,2539,2024-03-15 01:44:02,1000
9230680847512,1598,317,84,245,287,2024-11-26 06:23:25,503
9230859259858,8687,899,68,151,2352,2023-10-15 19:44:29,734
9230440406252,1609,981,228,58,2022,2023-09-23 20:23:43,786
9230417634205,3477,557,332,158,1358,2023-01-22 12:00:01,882
9230307828705,7144,384,469,161,1251,2023-08-20 10:32:54,819
9230693732136,3473,328,54,127,1170,2024-10-25 19:14:04,505
9230265833817,4442,568,388,20,1268,2023-08-10 21:01:23,657
9230901697602,3301,231,319,82,590,2023-02-23 06:45:23,910
9230768600866,1246,886,388,157,1721,2024-01-11 06:15:39,722
9230286659796,4386,999,67,89,1593,2023-12-28 13:08:23,941
9230927069977,6731,956,362,69,1094,2024-04-10 03:00:52,406
9230865562600,8860,170,368,139,580,2023-11-10 22:12:31,640
9230734328465,4266,547,218,21,2832,2024-08-12 09:25:12,883
9230532210174,8324,666,300,55,1918,2023-10-12 15:09:39,195
9230401465493,3323,257,53,102,2765,2023-12-22 17:11:51,293
9230845739714,9360,307,311,96,2803,2024-04-25 11:25:36,130
9230627366212,1403,637,396,204,548,2023-03-05 10:09:25,171
9230482635548,680,805,211,270,2217,2023-10-26 01:54:56,214
9230648571772,2499,806,499,153,2465,2023-11-26 16:49:29,447
9230372079637,6821,720,125,169,1822,2023-07-21 09:22:03,524
9230354967134,9192,479,362,40,2611,2024-05-30 10:01:57,828
9230113042916,6221,712,138,131,893,2023-08-17 22:58:21,89
