Amount Charged,Resources Consumed,Datetime Charged,MSISDN
6,5 SMS,2023-12-09 19:21:06,9230250373229
0,1 SMS,2023-08-08 09:11:57,9230164210176
0,37 SMS,2024-07-06 07:27:35,9230213698765
13,45 SMS,2024-04-23 06:25:25,9230854438776
16,240 seconds voice call,2023-01-16 23:35:17,9230751286997
20,235 seconds voice call,2023-03-17 02:15:25,9230300480073
0,30 SMS,2023-01-19 17:15:39,9230747965604
3,19 SMS,2024-03-05 02:18:52,9230966239325
7,212 seconds voice call,2024-04-04 10:31:59,9230515222731
0,17 SMS,2024-02-12 15:38:55,9230998618451
3,23 MB data,2023-04-22 13:41:11,9230877452953
0,42 MB data,2023-02-11 04:22:10,9230715340104
0,63 MB data,2023-10-02 22:43:00,9230737442961
0,68 MB data,2024-07-01 08:09:04,9230986337820
4,263 seconds voice call,2023-06-22 06:25:11,9230189367566
0,27 MB data,2023-09-06 04:06:55,9230325454471
9,202 seconds voice call,2023-09-05 20:37:23,9230734032528
10,76 MB data,2023-12-16 04:53:12,9230128026064
2,83 MB data,2024-03-05 11:09:10,9230519509585
0,14 SMS,2024-10-12 20:24:47,9230418573546
0,91 MB data,2023-04-11 22:50:29,9230349006281
1,209 seconds voice call,2023-03-06 19:01:49,9230757247005
0,290 seconds voice call,2024-12-27 04:50:23,9230195976999
6,24 SMS,2023-11-02 19:30:22,9230762083350
4,36 SMS,2024-07-12 07:02:38,9230553677954
16,45 MB data,2024-09-02 21:21:56,9230439195173
0,39 SMS,2024-03-26 10:59:57,9230745590992
17,58 MB data,2023-01-13 19:14:41,9230845937238
10,16 SMS,2023-02-05 06:15:37,9230532210174
15,68 MB data,2024-03-24 09:24:45,9230479530239
0,35 seconds voice call,2023-06-19 17:17:01,9230353836706
2,57 MB data,2024-03-06 11:23:16,9230525329325
0,11 SMS,2023-10-15 07:07:33,9230782878829
19,40 MB data,2024-11-08 08:15:18,9230620961607
13,22 MB data,2023-05-28 14:12:54,9230913469186
9,2 SMS,2023-06-15 17:38:14,9230324505412
0,28 seconds voice call,2023-07-01 22:38:24,9230482635548
1,37 SMS,2023-06-20 23:28:58,9230206993428
0,81 MB data,2024-03-06 14:40:24,9230974624965
0,62 MB data,2023-11-24 15:16:26,9230406874492
20,11 MB data,2024-05-16 05:07:19,9230252568240
1,90 MB data,2024-06-21 09:49:21,9230297580025
13,18 seconds voice call,2024-05-02 12:18:00,9230340061181
0,231 seconds voice call,2024-10-21 17:38:44,9230734656004
9,30 MB data,2023-03-06 20:25:02,9230677273280
0,9 SMS,2023-07-26 01:30:30,9230136074684
19,27 SMS,2023-03-30 09:24:39,9230553677954
0,12 SMS,2023-03-28 18:39:57,9230570122595
18,76 MB data,2023-02-02 19:34:12,9230181101498
0,41 SMS,2023-01-14 09:31:45,9230482635548
9,277 seconds voice call,2024-03-16 13:02:38,9230377740182
0,51 seconds voice call,2024-11-15 03:55:42,9230421889309
0,142 seconds voice call,2024-02-06 06:34:55,9230291832784
0,109 seconds voice call,2023-10-09 02:22:15,9230134569915
10,52 MB data,2024-01-27 19:12:24,9230110752086
0,52 MB data,2023-02-21 15:30:56,9230751286997
8,95 MB data,2023-05-01 12:11:37,9230918324323
0,31 SMS,2023-09-15 15:39:04,9230913662608
0,6 SMS,2023-04-08 11:29:56,9230859259858
0,240 seconds voice call,2023-04-05 01:19:36,9230518578339
8,270 seconds voice call,2024-03-15 11:29:13,9230104488435
0,18 MB data,2023-09-11 21:14:29,9230135697838
7,63 MB data,2023-05-31 06:42:58,9230859759249
0,24 seconds voice call,2023-03-16 02:18:02,9230411287976
4,51 MB data,2024-11-11 08:25:45,9230283949996
0,53 MB data,2023-04-23 14:54:21,9230681362355
0,16 MB data,2023-11-28 09:24:06,9230482635548
2,199 seconds voice call,2023-05-14 04:54:02,9230744398113
0,291 seconds voice call,2023-10-19 04:57:59,9230830363551
0,71 MB data,2023-08-17 10:46:03,9230242009124
0,6 MB data,2024-02-01 23:16:57,9230281653523
0,23 SMS,2023-05-29 11:45:30,9230584816103
0,119 seconds voice call,2023-08-02 01:55:55,9230513601178
8,24 MB data,2024-08-19 18:59:09,9230585087525
0,33 SMS,2024-05-27 23:21:20,9230532210174
0,83 seconds voice call,2023-07-07 11:04:32,9230690127388
0,67 MB data,2024-04-24 16:23:29,9230678620520
2,45 seconds voice call,2024-03-30 01:47:25,9230797852798
0,205 seconds voice call,2024-10-25 14:27:17,9230620962249
17,106 seconds voice call,2024-03-29 23:15:07,9230587802695
3,67 MB data,2023-12-07 01:46:51,9230929167854
8,26 MB data,2023-11-19 03:42:55,9230270654265
16,146 seconds voice call,2023-01-24 23:21:32,9230222425251
0,39 MB data,2024-07-05 19:30:43,9230734032528
0,4 SMS,2023-06-13 15:05:16,9230525329325
0,203 seconds voice call,2023-08-25 23:45:55,9230406147934
