Offer Name,Offer ID,Data Browsing Allowance,SMS Allowance,Voice On-Net Allowance,Voice Off-Net Allowance,Data Social Allowance,Datetime,Amount,MSISDN
Offer 27,O031,3035,979,81,181,1236,2024-04-13 11:05:30,604,9230715340104
Offer 42,O020,4819,676,218,40,1226,2023-09-05 11:29:10,356,9230636066934
Offer 30,O017,7907,565,80,195,2691,2023-03-11 13:05:07,248,9230570122595
Offer 12,O001,4495,496,104,216,1418,2023-05-17 00:56:48,737,9230996629579
Offer 34,O047,3851,237,157,188,2975,2024-11-14 13:06:23,766,9230403240894
Offer 18,O049,2092,664,453,285,294,2024-05-23 13:16:03,224,9230132527460
Offer 12,O046,5480,557,171,192,2802,2024-07-07 10:03:54,189,9230521850876
Offer 21,O010,8107,829,93,189,2205,2023-11-03 22:44:57,531,9230689135277
Offer 6,O036,3160,846,109,167,1430,2023-05-12 14:45:14,270,9230237322715
Offer 28,O021,4608,341,481,42,1048,2024-02-09 06:16:54,634,9230889042748
Offer 48,O015,835,746,314,202,987,2023-03-22 09:09:11,770,9230340061181
Offer 44,O018,4660,331,444,38,1516,2024-08-03 07:02:52,328,9230935333762
Offer 8,O038,2878,778,193,139,2398,2024-07-17 07:53:53,589,9230926844978
Offer 12,O040,2432,185,77,271,2201,2024-09-21 02:57:21,119,9230372387956
Offer 16,O003,8175,993,500,254,1038,2024-01-16 23:06:40,751,9230918324323
Offer 30,O033,6089,173,204,110,1210,2023-10-23 02:56:59,961,9230859759249
Offer 36,O029,799,527,330,146,1511,2024-04-24 18:48:15,448,9230237322715
Offer 3,O015,3229,663,493,73,996,2024-03-06 18:23:00,476,9230762083350
Offer 1,O031,3532,334,144,119,592,2024-05-28 01:14:54,285,9230689135277
Offer 20,O001,2549,157,478,266,1055,2023-04-11 17:13:27,385,9230164904391
Offer 29,O005,3361,395,83,155,1017,2023-03-24 18:39:10,121,9230798629373
Offer 14,O006,730,414,339,145,2984,2023-04-24 22:39:25,64,9230380831002
Offer 14,O005,7785,741,408,251,1643,2023-09-30 10:03:39,324,9230857792434
Offer 27,O036,8658,424,491,192,2771,2024-10-18 05:23:45,693,9230988629670
Offer 15,O002,3964,114,130,288,2323,2023-12-01 16:07:33,480,9230397501087
Offer 6,O010,6073,490,359,162,2793,2023-08-27 15:12:53,784,9230276660407
Offer 21,O023,1712,442,71,254,1676,2023-07-16 13:22:22,848,9230935333762
Offer 22,O016,9706,909,171,91,1403,2024-07-31 08:25:50,508,9230395884015
Offer 38,O002,7112,844,167,77,831,2023-12-12 22:17:05,435,9230231393360
Offer 26,O046,7430,570,454,55,1316,2023-07-17 06:11:49,58,9230181232816
Offer 21,O041,7208,546,326,40,2102,2023-02-12 01:24:07,909,9230224556190
Offer 4,O037,5599,408,233,215,992,2024-07-08 05:05:40,858,9230259441946
Offer 10,O050,3891,342,168,41,1870,2024-10-21 16:45:51,650,9230292005339
Offer 28,O014,8279,979,419,77,299,2024-02-11 20:02:13,815,9230869170025
Offer 41,O021,7061,998,66,91,2821,2023-11-10 14:59:22,650,9230859259858
Offer 39,O002,8047,988,376,190,1008,2024-10-28 22:12:09,559,9230677273280
Offer 41,O049,8233,240,476,183,1004,2023-02-07 19:43:11,751,9230798629373
Offer 33,O044,5543,763,456,194,1799,2023-03-25 18:40:00,218,9230363807566
Offer 9,O039,5281,443,370,232,2262,2024-11-24 05:43:09,267,9230691534638
Offer 30,O018,2902,297,238,172,1489,2024-01-15 00:59:15,679,9230423959650
Offer 38,O042,7914,731,206,268,2706,2023-10-28 02:39:20,458,9230563265024
Offer 5,O038,5837,390,257,238,1548,2023-10-25 17:11:42,67,9230463124616
Offer 45,O007,7846,756,459,201,1147,2023-02-17 22:16:02,85,9230717631811
Offer 14,O020,1093,911,368,98,1812,2024-10-18 17:34:36,970,9230705284347
Offer 24,O037,1653,510,384,177,774,2024-12-15 13:01:06,486,9230424681184
Offer 18,O034,9707,130,141,237,2814,2024-07-21 07:14:01,671,9230297580025
Offer 39,O005,4275,781,473,36,483,2024-02-28 23:19:25,460,9230975398588
Offer 38,O050,7547,265,255,237,1686,2023-11-27 00:42:53,408,9230222425251
Offer 32,O036,970,140,457,275,1097,2024-09-10 00:10:02,708,9230284527343
Offer 41,O022,7791,408,254,42,2003,2024-10-14 16:26:57,213,9230531683554
Offer 33,O003,7637,587,227,251,2267,2023-04-24 00:22:57,125,9230736702569
Offer 13,O001,4246,586,492,275,2638,2023-06-24 08:44:14,305,9230548067772
Offer 46,O010,5751,289,69,207,2707,2023-11-22 09:05:44,180,9230838747192
Offer 44,O031,6232,928,288,167,981,2024-02-29 17:33:36,230,9230615495383
Offer 18,O008,9484,634,350,90,2283,2024-02-11 11:24:48,858,9230995147362
Offer 16,O024,831,190,405,165,1771,2023-12-22 07:45:22,962,9230174337699
Offer 11,O002,7764,919,247,110,2427,2024-01-11 05:06:51,65,9230988629670
Offer 26,O032,8194,690,408,150,908,2023-02-17 22:44:28,954,9230582711549
Offer 26,O014,6490,301,417,161,1545,2023-03-19 01:40:31,656,9230542774756
Offer 8,O049,2374,294,490,111,2078,2023-01-04 12:12:12,80,9230737442961
Offer 10,O004,5233,956,337,298,669,2024-04-21 19:14:18,200,9230223870632
Offer 36,O044,5830,790,224,105,694,2023-09-13 14:03:15,601,9230509493265
Offer 48,O001,5284,746,406,293,653,2024-12-28 13:50:23,251,9230368714655
Offer 45,O007,9287,362,469,186,656,2023-08-17 16:18:18,619,9230797852798
Offer 5,O049,7725,934,380,287,1335,2023-12-19 16:44:09,381,9230844863890
