Ticket ID,Log Time,Resolution Time,Category,Description,Resolutions,MSISDN
T54509,2024-07-19 10:30:02,2024-07-19 16:30:02,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230323952441
T66986,2023-11-29 05:45:02,2023-12-02 01:45:02,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230367979227
T73025,2023-02-28 21:52:29,2023-03-03 16:52:29,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230277146142
T15861,2023-02-09 08:34:25,2023-02-10 13:34:25,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230488909528
T90855,2023-04-07 06:07:08,2023-04-09 22:07:08,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230224556190
T97075,2024-05-22 08:31:23,2024-05-24 04:31:23,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230781941999
T43226,2023-09-25 18:42:45,2023-09-27 10:42:45,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230644375655
T21047,2023-04-16 09:42:16,2023-04-16 12:42:16,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230380831002
T46987,2023-07-24 01:12:59,2023-07-25 02:12:59,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230927056639
T62795,2024-09-23 18:28:23,2024-09-25 06:28:23,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230291832784
T76486,2024-04-17 13:56:51,2024-04-19 01:56:51,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230208786773
T81574,2024-11-28 01:18:29,2024-11-28 08:18:29,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230782878829
T55930,2023-04-19 23:47:55,2023-04-20 09:47:55,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230608797513
T46849,2024-03-04 04:08:52,2024-03-04 14:08:52,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230175549082
T89574,2023-05-28 10:53:13,2023-05-28 13:53:13,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230974624965
T18005,2023-08-18 21:24:04,2023-08-21 08:24:04,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230608797513
T88239,2023-01-28 01:50:22,2023-01-30 14:50:22,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230693732136
T58709,2024-07-26 16:35:41,2024-07-29 11:35:41,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230655468230
T16064,2023-04-27 17:57:26,2023-04-30 01:57:26,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230913067921
T65989,2024-03-11 18:00:32,2024-03-14 03:00:32,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230504769021
T70421,2024-12-08 19:57:46,2024-12-11 19:57:46,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230530607842
T23565,2024-01-15 15:37:12,2024-01-15 16:37:12,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230996583212
T97021,2024-10-07 07:13:54,2024-10-09 03:13:54,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230784359368
T62870,2024-12-10 14:02:36,2024-12-11 08:02:36,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230509988441
T94826,2024-10-16 15:01:09,2024-10-19 07:01:09,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230818324681
T62514,2024-04-29 11:28:01,2024-04-29 17:28:01,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230951046596
T24276,2023-05-30 05:37:21,2023-05-31 15:37:21,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230942028822
T43510,2024-10-12 06:32:10,2024-10-14 16:32:10,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230734119779
T79840,2024-09-13 07:03:06,2024-09-15 22:03:06,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230347659110
T82806,2024-04-05 22:38:19,2024-04-08 13:38:19,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230600587929
T66759,2023-05-12 17:53:52,2023-05-13 07:53:52,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230367979227
T33013,2023-08-13 17:49:35,2023-08-15 04:49:35,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230257976986
T59357,2023-10-22 12:27:25,2023-10-22 23:27:25,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230397501087
T47101,2024-06-24 02:02:44,2024-06-25 02:02:44,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230116725380
T95196,2023-07-31 22:32:51,2023-08-02 14:32:51,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230220901940
T71444,2024-10-16 11:35:42,2024-10-17 03:35:42,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230854438776
T69250,2023-07-12 23:50:43,2023-07-14 10:50:43,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230320913591
T11071,2024-09-04 19:51:27,2024-09-05 16:51:27,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230712491291
T25173,2024-11-15 07:55:36,2024-11-16 07:55:36,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230141894241
T53589,2024-04-29 18:40:41,2024-04-30 20:40:41,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230940913341
T53328,2023-10-09 19:46:15,2023-10-12 10:46:15,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230509988441
T92472,2024-06-01 22:31:27,2024-06-02 05:31:27,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230279476066
T35508,2024-10-26 14:18:04,2024-10-29 10:18:04,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230248021475
T73837,2023-08-16 10:54:21,2023-08-16 22:54:21,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230338854256
T23223,2023-10-17 16:26:22,2023-10-19 20:26:22,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230365091079
T74498,2024-03-11 02:52:33,2024-03-13 22:52:33,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230469090751
T71572,2024-01-06 14:47:50,2024-01-07 20:47:50,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230289915767
T97027,2023-11-08 23:38:01,2023-11-09 19:38:01,Billing,Issue reported under Billing category.,Resolved with detailed explanation for Billing category.,9230693732136
T81159,2024-08-12 15:22:29,2024-08-13 15:22:29,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230773751253
T57449,2023-03-26 05:01:25,2023-03-27 10:01:25,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230575260490
T91572,2023-07-05 23:28:55,2023-07-07 23:28:55,Technical Support,Issue reported under Technical Support category.,Resolved with detailed explanation for Technical Support category.,9230350789665
T35141,2024-11-06 04:02:31,2024-11-06 05:02:31,Network Issue,Issue reported under Network Issue category.,Resolved with detailed explanation for Network Issue category.,9230702302189
T87125,2023-08-26 15:17:05,2023-08-28 12:17:05,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230372079637
T15829,2023-01-22 02:10:34,2023-01-22 16:10:34,General Inquiry,Issue reported under General Inquiry category.,Resolved with detailed explanation for General Inquiry category.,9230369808467
T65699,2024-02-02 20:43:20,2024-02-05 10:43:20,Complaint,Issue reported under Complaint category.,Resolved with detailed explanation for Complaint category.,9230620962249
